SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,
1,2020-01-22,Anhui,Mainland China,2020/1/22 17:00,1,0,0,,
2,2020-01-22,Beijing,Mainland China,2020/1/22 17:00,14,0,0,,
3,2020-01-22,Chongqing,Mainland China,2020/1/22 17:00,6,0,0,,
4,2020-01-22,Fujian,Mainland China,2020/1/22 17:00,1,0,0,,
5,2020-01-22,Gansu,Mainland China,2020/1/22 17:00,0,0,0,,
6,2020-01-22,Guangdong,Mainland China,2020/1/22 17:00,26,0,0,,
7,2020-01-22,Guangxi,Mainland China,2020/1/22 17:00,2,0,0,,
8,2020-01-22,Guizhou,Mainland China,2020/1/22 17:00,1,0,0,,
9,2020-01-22,Hainan,Mainland China,2020/1/22 17:00,4,0,0,,
10,2020-01-22,Hebei,Mainland China,2020/1/22 17:00,1,0,0,,
11,2020-01-22,Heilongjiang,Mainland China,2020/1/22 17:00,0,0,0,,
12,2020-01-22,Henan,Mainland China,2020/1/22 17:00,5,0,0,,
13,2020-01-22,Hong Kong,Hong Kong,2020/1/22 17:00,0,0,0,,
14,2020-01-22,Hubei,Mainland China,2020/1/22 17:00,444,17,28,,
15,2020-01-22,Hunan,Mainland China,2020/1/22 17:00,4,0,0,,
16,2020-01-22,Inner Mongolia,Mainland China,2020/1/22 17:00,0,0,0,,
17,2020-01-22,Jiangsu,Mainland China,2020/1/22 17:00,1,0,0,,
18,2020-01-22,Jiangxi,Mainland China,2020/1/22 17:00,2,0,0,,
19,2020-01-22,Jilin,Mainland China,2020/1/22 17:00,0,0,0,,
20,2020-01-22,Liaoning,Mainland China,2020/1/22 17:00,2,0,0,,
21,2020-01-22,Macau,Macau,2020/1/22 17:00,1,0,0,,
22,2020-01-22,Ningxia,Mainland China,2020/1/22 17:00,1,0,0,,
23,2020-01-22,Qinghai,Mainland China,2020/1/22 17:00,0,0,0,,
24,2020-01-22,Shaanxi,Mainland China,2020/1/22 17:00,0,0,0,,
25,2020-01-22,Shandong,Mainland China,2020/1/22 17:00,2,0,0,,
26,2020-01-22,Shanghai,Mainland China,2020/1/22 17:00,9,0,0,,
27,2020-01-22,Shanxi,Mainland China,2020/1/22 17:00,1,0,0,,
28,2020-01-22,Sichuan,Mainland China,2020/1/22 17:00,5,0,0,,
29,2020-01-22,Taiwan,Taiwan,2020/1/22 17:00,1,0,0,,
30,2020-01-22,Tianjin,Mainland China,2020/1/22 17:00,4,0,0,,
31,2020-01-22,Tibet,Mainland China,2020/1/22 17:00,0,0,0,,
32,2020-01-22,Washington,US,2020/1/22 17:00,1,0,0,,
33,2020-01-22,Xinjiang,Mainland China,2020/1/22 17:00,0,0,0,,
34,2020-01-22,Yunnan,Mainland China,2020/1/22 17:00,1,0,0,,
35,2020-01-22,Zhejiang,Mainland China,2020/1/22 17:00,10,0,0,,
36,2020-01-22,,Japan,2020/1/22 17:00,2,0,0,,
37,2020-01-22,,Thailand,2020/1/22 17:00,4,0,2,,
38,2020-01-22,,South Korea,2020/1/22 17:00,1,0,0,,
39,2020-01-22,Unknown,China,2020/1/22 17:00,0,0,0,,
40,2020-01-22,,Kiribati,2020/1/22 17:00,0,0,0,,
41,2020-01-23,Anhui,Mainland China,2020/1/23 17:00,9,0,0,,
42,2020-01-23,Beijing,Mainland China,2020/1/23 17:00,22,0,0,,
43,2020-01-23,Chongqing,Mainland China,2020/1/23 17:00,9,0,0,,
44,2020-01-23,Fujian,Mainland China,2020/1/23 17:00,5,0,0,,
45,2020-01-23,Gansu,Mainland China,2020/1/23 17:00,2,0,0,,
46,2020-01-23,Guangdong,Mainland China,2020/1/23 17:00,32,0,2,,
47,2020-01-23,Guangxi,Mainland China,2020/1/23 17:00,5,0,0,,
48,2020-01-23,Guizhou,Mainland China,2020/1/23 17:00,3,0,0,,
49,2020-01-23,Hainan,Mainland China,2020/1/23 17:00,5,0,0,,
50,2020-01-23,Hubei,Mainland China,2020/1/23 17:00,444,17,28,,
51,2020-01-23,Heilongjiang,Mainland China,2020/1/23 17:00,2,0,0,,
52,2020-01-23,Henan,Mainland China,2020/1/23 17:00,5,0,0,,
53,2020-01-23,Hong Kong,Hong Kong,2020/1/23 17:00,2,0,0,,
54,2020-01-23,Hubei,Mainland China,2020/1/23 17:00,444,17,28,,
55,2020-01-23,Hunan,Mainland China,2020/1/23 17:00,9,0,0,,
56,2020-01-23,Inner Mongolia,Mainland China,2020/1/23 17:00,0,0,0,,
57,2020-01-23,Jiangsu,Mainland China,2020/1/23 17:00,5,0,0,,
58,2020-01-23,Jiangxi,Mainland China,2020/1/23 17:00,7,0,0,,
59,2020-01-23,Jilin,Mainland China,2020/1/23 17:00,1,0,0,,
60,2020-01-23,Liaoning,Mainland China,2020/1/23 17:00,3,0,0,,
